Tolerance:,109.00 ppm,,First Scan:,1,,Last Scan:,12805,Ref. Mass:,85.101181,,,,,,,,,,,,,,,,,,,,,,,
,,,Threshold:,1,,Compound Name:,,,,,,,,,,,,,,Calibration:,,,,,,,,,,,,
,Measured Mass:,Ret. Time:,Scan Number:,Deviation [ppm]:,Deviation [mmu]:,Abs. Intensity:,Rel. Intensity:,TIC:,IT [ms]:,TIC*IT:,Elapsed scan time [ms]:,Target:,FT Resolution:,RF [V]:,Lockmass correction [ppm]:,Lockmass #1 [m/z]:,Lockmass #2 [m/z]:,Lockmass #3 [m/z]:,Number of Packets:,A,B,C,Vt,Mode,Peak Noise,Peak Flags,Peak Resolution,Peak Baseline,Ion Injection Time (ms):,Max. Ion Time (ms):,Repeller Voltage (V),CI reagent gas port:
,85.10112,5.05,2,-0.72,-0.06,31908,74.87,294586,3000,883757,0,,120000,800,,0,0,0,15,0,0,2.12E+08,0,0,11.68,------,212607,-0.05,3000,3000,8.6,None
,85.101143,5.07,3,-0.45,-0.04,110947,100,512673,795.505,407834,0,,120000,800,,0,0,0,16,0,0,2.12E+08,0,0,35.94,------,219107,-0.14,795.51,3000,8.6,None
,85.101135,5.07,4,-0.54,-0.05,131628,100,565263,434.055,245355,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,58.77,------,215107,-0.13,434.05,3000,8.6,None
,85.101128,5.08,5,-0.63,-0.05,133382,100,554867,388.442,215534,0,,120000,800,,0,0,0,14,0,0,2.12E+08,0,0,63.63,------,213407,-0.29,388.44,3000,8.6,None
,85.101158,5.09,6,-0.27,-0.02,123580,100,506218,395.641,200280,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,65.86,------,219107,0.23,395.64,3000,8.6,None
,85.101112,5.1,7,-0.81,-0.07,131401,100,555797,429.075,238478,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,60.61,------,215207,-0.18,429.07,3000,8.6,None
,85.101112,5.1,8,-0.81,-0.07,130930,100,541518,389.383,210858,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,63.05,------,212907,-0.8,389.38,3000,8.6,None
,85.101151,5.11,9,-0.36,-0.03,125313,100,521918,401.568,209586,0,,120000,800,,0,0,0,13,0,0,2.12E+08,0,0,60.53,------,216307,-0.57,401.57,3000,8.6,None
,85.101143,5.12,10,-0.45,-0.04,125000,100,513356,420.619,215927,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,58.65,------,218307,-0.65,420.62,3000,8.6,None
,85.101112,5.13,11,-0.81,-0.07,139459,100,573185,426.416,244415,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,58.52,------,212007,-0.44,426.42,3000,8.6,None
,85.101143,5.13,12,-0.45,-0.04,129818,100,542477,381.534,206973,0,,120000,800,,0,0,0,13,0,0,2.12E+08,0,0,66.01,------,215407,-0.3,381.53,3000,8.6,None
,85.10112,5.14,13,-0.72,-0.06,132421,100,551151,395.652,218064,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,63.14,------,215207,0.07,395.65,3000,8.6,None
,85.101135,5.15,14,-0.54,-0.05,138555,100,573709,393.025,225482,0,,120000,800,,0,0,0,14,0,0,2.12E+08,0,0,64.6,------,213207,0.16,393.02,3000,8.6,None
,85.101128,5.15,15,-0.63,-0.05,138631,100,570120,381.952,217758,0,,120000,800,,0,0,0,13,0,0,2.12E+08,0,0,66.82,------,213307,0.04,381.95,3000,8.6,None
,85.101143,5.16,16,-0.45,-0.04,138625,100,572413,385,220379,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,68.15,------,215407,-0.54,385,3000,8.6,None
,85.101143,5.17,17,-0.45,-0.04,140178,100,579447,383.767,222373,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,65.95,------,217707,-0.06,383.77,3000,8.6,None
,85.101151,5.17,18,-0.36,-0.03,127498,100,525135,379.203,199132,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,66.88,------,215007,-0.18,379.2,3000,8.6,None
,85.101158,5.18,19,-0.27,-0.02,141964,100,569755,412.795,235192,0,,120000,800,,0,0,0,13,0,0,2.12E+08,0,0,60.48,------,215007,-0.08,412.8,3000,8.6,None
,85.101135,5.19,20,-0.54,-0.05,142391,100,575905,384.678,221538,0,,120000,800,,0,0,0,15,0,0,2.12E+08,0,0,62.91,------,217207,-0.49,384.68,3000,8.6,None
,85.10112,5.2,21,-0.72,-0.06,137451,100,561025,381.987,214304,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,64.77,------,217107,-0.28,381.99,3000,8.6,None
,85.101097,5.2,22,-0.99,-0.08,136538,100,555388,391.253,217297,0,,120000,800,,0,0,0,13,0,0,2.12E+08,0,0,64.84,------,213707,-0.07,391.25,3000,8.6,None
,85.101135,5.21,23,-0.54,-0.05,142302,100,579049,388.453,224933,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,64.82,------,219407,-0.55,388.45,3000,8.6,None
,85.10112,5.22,24,-0.72,-0.06,143267,100,590930,379.412,224206,0,,120000,800,,0,0,0,13,0,0,2.12E+08,0,0,68.73,------,216207,0.25,379.41,3000,8.6,None
,85.101112,5.22,25,-0.81,-0.07,145146,100,592683,373.952,221635,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,68.61,------,210607,-0.4,373.95,3000,8.6,None
,85.101112,5.23,26,-0.81,-0.07,141960,100,575253,367.97,211676,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,68.2,------,213707,-0.06,367.97,3000,8.6,None
,85.10112,5.24,27,-0.72,-0.06,139965,100,562213,378.516,212807,0,,120000,800,,0,0,0,16,0,0,2.12E+08,0,0,65.93,------,214207,-0.52,378.52,3000,8.6,None
,85.101105,5.24,28,-0.9,-0.08,132864,100,545241,389.343,212286,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,63.3,------,213507,-0.73,389.34,3000,8.6,None
,85.10112,5.25,29,-0.72,-0.06,141840,100,581357,396.424,230464,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,63.3,------,214807,-0.45,396.42,3000,8.6,None
,85.101112,5.26,30,-0.81,-0.07,144120,100,574483,379.579,218062,0,,120000,800,,0,0,0,10,0,0,2.12E+08,0,0,66.36,------,213807,0.01,379.58,3000,8.6,None
,85.101135,5.26,31,-0.54,-0.05,145122,100,586593,374.529,219696,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,68.98,------,212807,-0.1,374.53,3000,8.6,None
,85.10112,5.27,32,-0.72,-0.06,138769,100,565430,377.979,213721,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,67.04,------,214607,-0.44,377.98,3000,8.6,None
,85.101158,5.28,33,-0.27,-0.02,133252,100,541507,378.604,205017,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,64.79,------,218107,-0.15,378.6,3000,8.6,None
,85.101158,5.29,34,-0.27,-0.02,135754,100,539448,407.653,219908,0,,120000,800,,0,0,0,11,0,0,2.12E+08,0,0,61.99,------,218807,-0.09,407.65,3000,8.6,None
,85.101151,5.29,35,-0.36,-0.03,144822,100,578775,401.091,232142,0,,120000,800,,0,0,0,13,0,0,2.12E+08,0,0,62.31,------,218307,-0.22,401.09,3000,8.6,None
,85.10112,5.3,36,-0.72,-0.06,139900,100,563437,380.491,214383,0,,120000,800,,0,0,0,9,0,0,2.12E+08,0,0,65.08,------,215007,-0.52,380.49,3000,8.6,None
,85.101128,5.31,37,-0.63,-0.05,147539,100,590686,388.992,229772,0,,120000,800,,0,0,0,12,0,0,2.12E+08,0,0,65.7,------,213007,0.16,388.99,3000,8.6,None
