Tolerance:,109.00 ppm,,First Scan:,1,,Last Scan:,14323,Ref. Mass:,86.104507,,,,,,,,,,,,,,,,,,,,,,,
,,,Threshold:,1,,Compound Name:,,,,,,,,,,,,,,Calibration:,,,,,,,,,,,,
,Measured Mass:,Ret. Time:,Scan Number:,Deviation [ppm]:,Deviation [mmu]:,Abs. Intensity:,Rel. Intensity:,TIC:,IT [ms]:,TIC*IT:,Elapsed scan time [ms]:,Target:,FT Resolution:,RF [V]:,Lockmass correction [ppm]:,Lockmass #1 [m/z]:,Lockmass #2 [m/z]:,Lockmass #3 [m/z]:,Number of Packets:,A,B,C,Vt,Mode,Peak Noise,Peak Flags,Peak Resolution,Peak Baseline,Ion Injection Time (ms):,Max. Ion Time (ms):,Repeller Voltage (V),CI reagent gas port:
,86.104416,5.05,2,-1.06,-0.09,1362,3.02,275687,3000,827060,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,12.2,------,205902,0.04,3000,3000,8.63,None
,86.104424,5.07,3,-0.97,-0.08,2968,5.05,411159,836.054,343751,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,32.23,------,211402,-0.25,836.05,3000,8.63,None
,86.104431,5.08,4,-0.89,-0.08,2839,5.07,409616,555.242,227436,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,43.7,------,209502,-0.58,555.24,3000,8.63,None
,86.104446,5.09,5,-0.71,-0.06,3753,6.66,410945,544.334,223691,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,45.07,------,207902,-0.4,544.33,3000,8.63,None
,86.104462,5.1,6,-0.53,-0.05,3149,6.1,389521,534.425,208170,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,45.1,------,206302,-0.58,534.43,3000,8.63,None
,86.104454,5.11,7,-0.62,-0.05,3714,6.43,417112,572.211,238676,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,43.31,------,208902,-0.42,572.21,3000,8.63,None
,86.104439,5.12,8,-0.8,-0.07,3640,6.59,411717,530.825,218550,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,46.16,------,203502,-0.52,530.82,3000,8.63,None
,86.104439,5.13,9,-0.8,-0.07,3554,5.86,432221,537.044,232121,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,45.66,------,210802,-0.08,537.04,3000,8.63,None
,86.104431,5.13,10,-0.89,-0.08,3352,5.72,417551,521.826,217889,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,47.37,------,208902,-0.37,521.83,3000,8.63,None
,86.104446,5.14,11,-0.71,-0.06,3325,5.8,425090,523.317,222457,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,48.6,------,208802,-0.06,523.32,3000,8.63,None
,86.104454,5.15,12,-0.62,-0.05,3152,5.91,387583,520.437,201713,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,47.62,------,209202,-0.17,520.44,3000,8.63,None
,86.104439,5.16,13,-0.8,-0.07,3790,6.47,420232,568.949,239091,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,42.79,------,206602,-0.76,568.95,3000,8.63,None
,86.104439,5.17,14,-0.8,-0.07,3252,5.9,410895,533.052,219029,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,46.14,------,207402,-0.3,533.05,3000,8.6,None
,86.104439,5.18,15,-0.8,-0.07,3811,6.34,428678,546.043,234076,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,46.72,------,207002,-0.56,546.04,3000,8.6,None
,86.104431,5.19,16,-0.89,-0.08,3970,6.68,426952,521.575,222688,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,48.39,------,206402,-0.24,521.57,3000,8.6,None
,86.104454,5.2,17,-0.62,-0.05,3502,6.26,404554,522.808,211504,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,49.29,------,206402,-0.34,522.81,3000,8.6,None
,86.104454,5.21,18,-0.62,-0.05,3921,6.57,434581,551.546,239691,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,47.22,------,209402,0.17,551.55,3000,8.6,None
,86.104454,5.22,19,-0.62,-0.05,3739,6.57,423652,521.124,220775,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,48.58,------,204402,-0.38,521.12,3000,8.6,None
,86.104469,5.23,20,-0.44,-0.04,3011,5.67,395990,517.859,205067,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,47.32,------,207402,-0.52,517.86,3000,8.6,None
,86.104462,5.24,21,-0.53,-0.05,3000,5.58,389244,562.462,218935,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,45.94,------,206402,0.14,562.46,3000,8.6,None
,86.104446,5.25,22,-0.71,-0.06,3475,5.79,428647,569.914,244292,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,46.91,------,206102,0.04,569.91,3000,8.6,None
,86.104485,5.26,23,-0.27,-0.02,3494,6.29,400201,525.81,210429,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,48.47,------,208702,0.23,525.81,3000,8.6,None
,86.104416,5.27,24,-1.06,-0.09,3762,6.17,445641,555.477,247544,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,45.01,------,206702,-0.19,555.48,3000,8.6,None
,86.104469,5.28,25,-0.44,-0.04,3641,6.21,429784,513.709,220784,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,47.9,------,201702,-0.13,513.71,3000,8.6,None
,86.104477,5.29,26,-0.35,-0.03,3515,6.39,397431,513.216,203968,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,48.3,------,206802,-0.44,513.22,3000,8.6,None
,86.104454,5.3,27,-0.62,-0.05,3945,6.61,427766,557.716,238572,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,45.89,------,205402,-0.23,557.72,3000,8.6,None
,86.104477,5.31,28,-0.35,-0.03,3451,6.36,400499,525.479,210454,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,46.58,------,208202,-0.28,525.48,3000,8.6,None
,86.104469,5.32,29,-0.44,-0.04,4014,6.74,430315,560.563,241219,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,43.72,------,209902,-0.6,560.56,3000,8.6,None
,86.104439,5.32,30,-0.8,-0.07,3334,5.82,420698,523.917,220411,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,48.51,------,206502,-0.43,523.92,3000,8.6,None
,86.104454,5.33,31,-0.62,-0.05,3419,5.89,423828,528.636,224051,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,47.34,------,205902,-0.26,528.64,3000,8.6,None
,86.104462,5.34,32,-0.53,-0.05,3817,7.07,396709,521.376,206835,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,49.53,------,205402,-0.3,521.38,3000,8.6,None
,86.104446,5.35,33,-0.71,-0.06,3367,5.63,427606,557.04,238194,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,44.65,------,207102,-0.5,557.04,3000,8.6,None
,86.104424,5.36,34,-0.97,-0.08,3231,5.38,425850,517.024,220174,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,49.99,------,206102,-0.33,517.02,3000,8.6,None
,86.104408,5.37,35,-1.15,-0.1,3882,6.39,445189,514.51,229054,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,48.95,------,208902,-0.44,514.51,3000,8.6,None
,86.104431,5.38,36,-0.89,-0.08,4339,7.28,438577,498.617,218682,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,52.21,------,207102,-0.45,498.62,3000,8.6,None
,86.104416,5.39,37,-1.06,-0.09,4290,7.22,427248,502.676,214767,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,50.56,------,210102,0,502.68,3000,8.6,None
