Tolerance:,109.00 ppm,,First Scan:,1,,Last Scan:,13039,Ref. Mass:,85.101181,,,,,,,,,,,,,,,,,,,,,,,
,,,Threshold:,1,,Compound Name:,,,,,,,,,,,,,,Calibration:,,,,,,,,,,,,
,Measured Mass:,Ret. Time:,Scan Number:,Deviation [ppm]:,Deviation [mmu]:,Abs. Intensity:,Rel. Intensity:,TIC:,IT [ms]:,TIC*IT:,Elapsed scan time [ms]:,Target:,FT Resolution:,RF [V]:,Lockmass correction [ppm]:,Lockmass #1 [m/z]:,Lockmass #2 [m/z]:,Lockmass #3 [m/z]:,Number of Packets:,A,B,C,Vt,Mode,Peak Noise,Peak Flags,Peak Resolution,Peak Baseline,Ion Injection Time (ms):,Max. Ion Time (ms):,Repeller Voltage (V),CI reagent gas port:
,85.101097,5.05,2,-0.99,-0.08,2320,7.48,202417,3000,607252,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,10.87,------,207402,0.04,3000,3000,8.6,None
,85.101089,5.07,3,-1.08,-0.09,4919,11.93,276023,1149.408,317263,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,23.45,------,209302,-0.19,1149.41,3000,8.6,None
,85.101097,5.09,4,-0.99,-0.08,4785,12.63,268316,822.367,220655,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,30.76,------,210702,-0.15,822.37,3000,8.6,None
,85.101097,5.1,5,-0.99,-0.08,4790,11.61,288070,837.559,241275,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,31.71,------,207502,-0.06,837.56,3000,8.6,None
,85.101082,5.12,6,-1.17,-0.1,4562,11.19,286791,785.704,225333,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,31.32,------,204802,-0.26,785.7,3000,8.6,None
,85.101082,5.13,7,-1.17,-0.1,4773,11.75,280191,784.83,219902,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,31.53,------,211202,-0.12,784.83,3000,8.6,None
,85.101074,5.14,8,-1.26,-0.11,4203,10.54,274824,799.503,219723,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,30.82,------,206602,-0.33,799.5,3000,8.6,None
,85.101067,5.16,9,-1.34,-0.11,4332,11.07,270726,813.731,220298,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,30.73,------,206402,-0.19,813.73,3000,8.6,None
,85.101074,5.17,10,-1.26,-0.11,4653,11.55,279528,821.733,229698,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,30.36,------,205502,-0.1,821.73,3000,8.6,None
,85.101105,5.18,11,-0.9,-0.08,4170,11.22,261633,798.734,208975,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,31.07,------,205102,-0.28,798.73,3000,8.6,None
,85.101105,5.2,12,-0.9,-0.08,4704,11.72,284773,850.838,242295,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,29.13,------,207902,-0.18,850.84,3000,8.6,None
,85.101112,5.21,13,-0.81,-0.07,4971,12.16,286019,803.865,229921,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,31.78,------,211702,-0.02,803.86,3000,8.6,None
,85.101112,5.23,14,-0.81,-0.07,4422,11.04,280929,786.257,220882,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,31.16,------,207502,-0.4,786.26,3000,8.6,None
,85.101082,5.24,15,-1.17,-0.1,4143,10.76,274471,798.803,219248,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,31.9,------,208102,-0.14,798.8,3000,8.6,None
,85.10112,5.26,16,-0.72,-0.06,4347,11.3,267170,814.378,217578,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,30.97,------,205802,-0.19,814.38,3000,8.6,None
,85.101082,5.27,17,-1.17,-0.1,4146,10.7,272528,830.369,226299,0,,120000,800,,0,0,0,5,0,0,2.12E+08,0,0,29.38,------,205502,-0.12,830.37,3000,8.6,None
,85.101089,5.28,18,-1.08,-0.09,3786,9.82,271383,819.227,222324,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,31.04,------,206602,-0.15,819.23,3000,8.6,None
,85.101128,5.3,19,-0.63,-0.05,3855,10.48,259398,819.436,212560,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,30.21,------,209102,-0.22,819.44,3000,8.6,None
,85.101082,5.31,20,-1.17,-0.1,4273,11.28,267936,862.253,231029,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,30.01,------,205502,-0.22,862.25,3000,8.6,None
,85.101089,5.33,21,-1.08,-0.09,4143,10.38,278662,833.275,232202,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,30.04,------,206702,-0.05,833.27,3000,8.6,None
,85.101089,5.34,22,-1.08,-0.09,4246,10.9,270033,805.572,217531,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,32.51,------,207402,-0.1,805.57,3000,8.58,None
,85.101105,5.36,23,-0.9,-0.08,4109,10.05,280215,820.203,229833,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,30.12,------,207902,-0.1,820.2,3000,8.58,None
,85.101089,5.37,24,-1.08,-0.09,3834,10.06,272135,794.775,216286,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,31.19,------,207402,-0.19,794.77,3000,8.58,None
,85.10112,5.38,25,-0.72,-0.06,4042,11.45,256522,821.809,210812,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,30.28,------,207302,-0.37,821.81,3000,8.58,None
,85.101097,5.4,26,-0.99,-0.08,4112,10.22,282872,882.533,249643,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,29.92,------,205802,-0.1,882.53,3000,8.58,None
,85.101089,5.41,27,-1.08,-0.09,3963,10.49,278875,784.809,218863,0,,120000,800,,0,0,0,3,0,0,2.12E+08,0,0,32.02,------,202902,-0.2,784.81,3000,8.58,None
,85.101105,5.43,28,-0.9,-0.08,4090,10.48,279880,793.084,221969,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,30.8,------,204902,-0.32,793.08,3000,8.58,None
,85.101112,5.44,29,-0.81,-0.07,4081,11.55,263038,793.879,208820,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,31.6,------,209502,-0.08,793.88,3000,8.58,None
,85.101089,5.45,30,-1.08,-0.09,3696,8.9,283300,854.37,242043,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,28.73,------,205902,-0.39,854.37,3000,8.58,None
,85.101112,5.47,31,-0.81,-0.07,4624,11.7,292228,795.748,232540,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,30.34,------,210502,-0.32,795.75,3000,8.58,None
,85.101143,5.48,32,-0.45,-0.04,4477,12.05,263666,773.978,204072,0,,120000,800,,0,0,0,4,0,0,2.12E+08,0,0,33.55,------,209202,0.03,773.98,3000,8.58,None
,85.10112,5.5,33,-0.72,-0.06,3925,10.79,264949,859.834,227812,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,28.7,------,211402,-0.38,859.83,3000,8.58,None
,85.101082,5.51,34,-1.17,-0.1,4209,10.33,290841,845.781,245988,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,30.58,------,207202,-0.21,845.78,3000,8.62,None
,85.101128,5.52,35,-0.63,-0.05,3770,10.1,266016,771.285,205174,0,,120000,800,,0,0,0,2,0,0,2.12E+08,0,0,31.44,------,203302,-0.23,771.28,3000,8.62,None
